Período;Região;Entidade;Localização Geográfica;Grupo Sanguíneo;Nº Total de Unidades de Sangue Colhidas;Nº Total de Unidades de Sangue Colhidas no Grupo Etário <25 anos
2018-09;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768, -9.1634516;AB+;9;1
2018-09;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514, -8.4103814;B+;;
2018-09;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;B+;;
2018-09;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;O+;;
2018-09;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;O-;;
2018-09;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;O+;;
2018-10;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;B+;;
2018-10;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;AB+;;
2018-11;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;Total;;
2018-11;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;AB+;;
2019-01;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;AB+;;
2019-01;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;O+;116;11
2019-01;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;AB-;;
2019-02;Entidade Central;Instituto Português do Sangue e Transplantação (IPST), I.P;38.7567758, -9.1505021;B-;86;11
2019-02;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;O+;;
2019-02;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;O+;;
2019-02;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;AB+;;
2019-03;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973, -7.9281554;A-;;
2018-11;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;A+;;
2018-11;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;B-;3;0
2018-12;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;A+;;
2018-12;Região de Saúde do Centro;Hospital Dr Francisco Zagalo;40.8571967, -8.6318023;A+;;
2018-12;Região de Saúde Norte;Centro Hospitalar entre Douro e Vouga, EPE;40.9293884, -8.5458794;B-;;
2023-10;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;A+;69;13
2018-12;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642, -8.6062881;B+;40;7
2023-10;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973, -7.9281554;A+;;
2018-12;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;O+;198;14
2023-10;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;B+;0;0
2018-12;Região de Saúde Norte;Hospital de Braga, PPP;41.567781, -8.399268;B+;;
2019-01;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;B-;;
2023-10;Região de Saúde Norte;Hospital de Braga;41.567781, -8.399268;Total;;
2023-10;Região de Saúde Norte;Hospital de Braga;41.567781, -8.399268;AB-;;
2023-11;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973, -7.9281554;O+;;
2023-11;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973, -7.9281554;AB+;;
2023-11;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;A-;;
2019-02;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.952565, -8.992398;AB-;;
2023-11;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;O+;;
2023-11;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;A-;;
2023-11;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;B+;;
2019-03;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;O-;33;3
2023-11;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;A+;;
2023-11;Região de Saúde LVT;Hospital de Cascais, PPP;;A-;;
2019-03;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;A+;;
2019-03;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514, -8.4103814;Total;;
2023-12;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;AB+;;
2019-03;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;O+;;
2023-12;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;A-;;
2023-12;Região de Saúde LVT;Hospital de Vila Franca de Xira, EPE;38.952565, -8.992398;A-;;
2019-03;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642, -8.6062881;A+;292;60
2019-03;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;A-;;
2019-04;Entidade Central;Instituto Português do Sangue e Transplantação (IPST), I.P;38.7567758, -9.1505021;O-;719;100
2019-04;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973, -7.9281554;Total;;
2019-04;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;A-;22;0
